,Player Name,Team,Position,w,k,sv,era,whip,score
692,Brad Mills,TOR,"SP,RP",2,27,0,5.27,1.49,1207
750,Alex White,HOU,SP,2,33,0,5.35,1.61,1206
659,B.J. Rosenberg,PHI,RP,2,25,0,4.98,1.5,1203
669,Ethan Martin,PHI,RP,1,36,0,4.76,1.5,1199
746,Ryan Rowland-Smith,ARI,RP,2,31,0,5.49,1.53,1197
683,Aaron Thompson,MIN,RP,2,25,0,4.86,1.52,1196
628,Scott Rice,NYM,RP,1,21,0,4.21,1.47,1195
650,Evan Meek,WSH,RP,2,20,0,4.72,1.49,1195
730,Kyle Ryan,DET,RP,2,25,0,5.34,1.47,1188
694,Jorge De Leon,OAK,RP,2,25,0,4.99,1.51,1188
691,Nate Adcock,TEX,RP,2,23,0,4.94,1.49,1186
647,Kyle Farnsworth,HOU,RP,1,22,2,4.58,1.48,1185
697,Jose Alvarez,LAA,RP,2,19,0,5.27,1.44,1180
720,Blake Beavan,SEA,"SP,RP",2,19,0,5.62,1.42,1178
753,John Lannan,NYM,RP,3,20,0,5.96,1.63,1176
749,Kris Johnson,MIN,"SP,RP",2,31,0,5.31,1.65,1174
719,Anthony Bass,TEX,RP,1,30,1,5.32,1.45,1174
649,Arodys Vizcaino,ATL,RP,1,28,0,4.53,1.48,1171
739,Erik Johnson,CWS,"SP,RP",2,29,0,5.31,1.61,1167
710,Justin Marks,KC,RP,2,26,0,4.98,1.58,1165
708,Michael Mariot,KC,RP,2,27,0,5.22,1.55,1164
632,Joe Paterson,ARI,RP,1,15,0,4.19,1.46,1164
640,Wei-Chung Wang,MIL,RP,1,17,0,5.03,1.36,1161
654,Chris Leroux,NYY,RP,2,20,0,5.14,1.47,1158
705,Michael Kirkman,TEX,RP,2,27,0,5.16,1.64,1142
733,Mark Hamburger,MIN,RP,2,26,0,5.24,1.59,1129
643,Carlos Contreras,CIN,RP,1,24,0,4.39,1.51,1120
754,Daniel Corcino,CIN,"SP,RP",2,29,0,6.15,1.64,1111
760,Ryan Feierabend,TEX,"RP,SP",2,26,0,5.97,1.54,1100
758,Scott Snodgress,CWS,RP,2,28,0,5.69,1.66,1100
742,Jeff Manship,CLE,RP,2,26,0,5.37,1.63,1091
718,Jose Ortega,DET,RP,2,26,0,5.34,1.69,1082
662,Mark Lowe,CLE,RP,1,25,0,4.58,1.51,1080
639,Justin Miller,DET,RP,1,15,0,4.55,1.44,1079
